Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
Shivers USD,0.000306,-0.000002,"61,167",N/A,"61,167"
Energo USD,0.000101,0.000002,"60,659","6,842","60,659"
Rimbit USD,0.000306,-0.000002,"60,427",2,"60,427"
Asch USD,0.000644,0.000001,"60,122",294,"60,122"
Citadel.one USD,0.006557,0.000103,"58,990",683,"58,990"
Cook Finance USD,0.000067,-0.000003,"58,873","12,812","58,873"
The Crypto Prophecies USD,0.000509,-0.000019,"58,642","48,661","58,642"
All Sports USD,0.000039,0,"58,520",0,"58,520"
Zoracles USD,10.64,6.26,"58,125",665,"58,125"
Gunstar Metaverse USD,0.001855,-0.000013,"58,056","98,969","58,056"
Bolivarcoin USD,0.003089,-0.00002,"58,015",3,"58,015"
Mrweb Finance USD,0.001932,0.000109,"57,958","6,396","57,958"
Shard USD,0.003364,-0.000022,"57,527",6,"57,527"
IQ.cash USD,0.0048,-0.000001,"57,421",0,"57,421"
Uptrennd USD,0.000143,-0.000001,"57,338",19,"57,338"
Eroscoin USD,0.000306,-0.000002,"57,112","3,845","57,112"
Citadel USD,0.005199,-0.000342,"57,031",788,"57,031"
Elpis Battle USD,0.002563,-0.000006,"56,836",275,"56,836"
Jade Currency USD,0.001047,-0.000011,"56,151",862,"56,151"
Lucretius USD,0.000228,0.000046,"55,816",1,"55,816"
Privatix USD,0.049545,-0.002174,"55,761","18,968","55,761"
SORA Validator Token USD,0.136206,-0.012256,"55,572","27,218","55,572"
Curio USD,0.028253,-0.000104,"55,547",1,"55,547"
SteepCoin USD,0.000306,-0.000002,"55,510",2,"55,510"
Doki Doki Finance USD,1.104,0,"55,202","49,962","55,202"
Zetacoin USD,0.000918,-0.000006,"54,852",4,"54,852"
Vivid Coin USD,0.007095,-0.000047,"54,616",0,"54,616"
BEMIL Coin USD,0.000054,-0.000002,"54,232",95,"54,232"
Rubies USD,0.005199,-0.000034,"54,150",3,"54,150"
TrezarCoin USD,0.000184,-0.000001,"54,109",0,"54,109"
Sypool USD,0.000823,-0.000005,"53,820","147,743","53,820"
Webflix Token USD,0.00000368,0,"53,272",0,"53,272"
YVS.Finance USD,0.039752,-0.000018,"52,681",8,"52,681"
DraftCoin USD,0.006039,-0.034775,"52,635","1,630","52,635"
Coinracer USD,0.000529,-0.000007,"52,537",783,"52,537"
LiteDoge USD,0.00000317,0,"52,026",N/A,"52,026"
FOTA - Fight Of The Ages USD,0.007864,-0.000236,"51,512","77,770","51,512"
BitcoinPoS USD,0.008583,-0.000033,"51,454",9,"51,454"
ShoeFy USD,0.00394,-0.000261,"51,274","5,821","51,274"
Tapx USD,0.00199,0.000001,"51,159",7,"51,159"
Opal USD,0.003364,-0.000022,"50,988",10,"50,988"
Ideaology USD,0.00313,0.00005,"50,968","168,430","50,968"
Worldcore USD,0.000285,-0.000001,"50,717",1,"50,717"
Soldex USD,0.00012,0,"50,533","95,860","50,533"
SugarBounce USD,0.00357,-0.000097,"50,080","4,291","50,080"
TotemFi USD,0.008176,-0.000108,"49,985","6,978","49,985"
Elamachain USD,0.00005,0,"49,925",0,"49,925"
Robust Token USD,2.0839,-0.2076,"49,815",517,"49,815"
Beetlecoin USD,0.000172,-0.000001,"49,804",2,"49,804"
Verso USD,0.000625,-0.000012,"49,532","9,920","49,532"
CafeSwap Token USD,0.002,0,"49,169",7,"49,169"
Phoenix Token USD,0.00149,0.00001,"49,109","20,845","49,109"
BidiPass USD,0.000126,0,"48,667",642,"48,667"
Rage Fan USD,0.000854,0.000064,"48,431","6,904","48,431"
MultiCoinCasino USD,0.01006,-0.000002,"48,367",504,"48,367"
Sentinel Chain USD,0.000245,0.000001,"48,292","10,270","48,292"
Anoncoin USD,0.022632,0.000158,"47,760",17,"47,760"
Skyrim Finance USD,0.002323,0.000019,"47,156","10,510","47,156"
MidasProtocol USD,0.000237,0,"46,340","24,922","46,340"
Teloscoin USD,0.000275,-0.000033,"46,077",0,"46,077"
Expanse USD,0.002447,-0.000016,"46,010",11,"46,010"
Scrypta USD,0.001835,-0.000012,"45,844",3,"45,844"
Bunicorn USD,0.001632,-0.000001,"45,770",173,"45,770"
BlitzPick USD,0.000118,0,"45,303",65,"45,303"
AnRKey X USD,0.000225,0.000013,"44,913",0,"44,913"
Step Finance USD,0.011208,-0.000115,"44,832","17,308","44,832"
WorkQuest Token USD,0.00069,0.000043,"44,738","62,308","44,738"
SafeInsure USD,0.001802,0.000019,"44,563",3,"44,563"
MELX USD,0.002198,0.001073,"44,622","64,194","44,622"
BitWhite USD,0.001223,-0.000042,"44,431","35,040","44,431"
Pancake Bunny USD,0.085713,-0.003994,"43,733","44,540","43,733"
Phoneum USD,0.000014,0,"43,512",211,"43,512"
Rigel Protocol USD,0.024056,0.004521,"43,180",15,"43,180"
MyBit USD,0.000272,0,"42,706",123,"42,706"
SPINDLE USD,0.00000775,0.00000001,"42,442",10,"42,442"
Friendz USD,0.000075,0,"41,904","63,915","41,904"
Berry Data USD,0.020291,-0.000879,"40,582","10,876","40,582"
Public Index Network USD,0.000265,0,"40,389",114,"40,389"
Vodra USD,0.000281,-0.000026,"40,225","7,096","40,225"
RED TOKEN USD,0.00000618,0.00000005,"40,206","494,324","40,206"
Kawaii Islands USD,0.001327,0.000005,"39,823","1,461","39,823"
Bitspawn USD,0.000077,-0.000008,"39,404",111,"39,404"
Unify USD,0.002139,-0.000014,"38,889",2,"38,889"
TheForce Trade USD,0.000482,0,"38,629",25,"38,629"
Shadow Token USD,0.005499,-0.000037,"38,493",5,"38,493"
ATBCoin USD,0.000917,-0.000006,"38,533",6,"38,533"
Po.et USD,0.000012,0,"38,390",2,"38,390"
Azuki USD,0.003392,-0.000035,"38,281",41,"38,281"
PureVidz USD,0.000306,-0.000002,"38,273",20,"38,273"
Ormeus Cash USD,0.0002,0,"38,074","109,614","38,074"
MojoCoin USD,0.003055,-0.00002,"37,506",9,"37,506"
Cheesecoin USD,0.000092,-0.000001,"37,473",0,"37,473"
Ratecoin USD,0.000306,-0.000002,"37,408",15,"37,408"
Blockburn USD,0.000019,0,"37,216",23,"37,216"
YENTEN USD,0.000886,-0.000006,"37,167",22,"37,167"
EDUCare USD,0.000051,-0.000002,"36,995",281,"36,995"
Phore USD,0.001222,-0.001547,"36,757",58,"36,757"
PayCoin USD,0.003055,-0.00002,"36,646",0,"36,646"
CryptoTycoon USD,0.136213,-0.002847,"36,323","7,235","36,323"
Snowball USD,0.006276,0.000038,"36,187",57,"36,187"
ETNA Network USD,0.00298,-0.000182,"36,000",28,"36,000"
Timechain Swap Token USD,0.009967,0.000109,"36,027",81,"36,027"
Neutron USD,0.000917,-0.000006,"35,855",243,"35,855"
NBX USD,0.003996,0.000081,"35,415","196,024","35,415"
Crypto Sports Network USD,0.012561,-0.002403,"34,385",211,"34,385"
UniFarm USD,0.000884,-0.000012,"33,916",901,"33,916"
Stipend USD,0.002566,-0.000017,"33,850",10,"33,850"
VAULT USD,0.049797,-0.000334,"33,762",0,"33,762"
GoldBlocks USD,0.002139,-0.000014,"33,283",2,"33,283"
TrueDeck USD,0.001073,0.000072,"32,954","16,995","32,954"
Onix USD,0.000306,-0.000002,"32,710",2,"32,710"
ICOBID USD,0.000306,-0.000002,"32,703",N/A,"32,703"
Global Currency Reserve USD,0.000306,-0.036034,"32,696",79,"32,696"
Elemon USD,0.000345,-0.000006,"32,524","2,921","32,524"
TradeStars USD,0.0024,0,"32,511",363,"32,511"
Bata USD,0.006416,-0.000043,"32,415",11,"32,415"
SparkPoint Fuel USD,0.001141,-0.000003,"32,386","1,097","32,386"
Ormeus Coin USD,0.000899,0,"32,279",39,"32,279"
CryptoBonusMiles USD,0.00000645,-0.00000004,"32,224",12,"32,224"
POLKARARE USD,0.002806,-0.000013,"31,943","10,693","31,943"
Rublix USD,0.001546,0.000117,"32,064",20,"32,064"
Noir USD,0.001528,-0.000042,"31,717",3,"31,717"
Theresa May Coin USD,0.000306,-0.000002,"30,555",11,"30,555"
CustomContractNetwork USD,0.000019,0,"30,500",5,"30,500"
Adzcoin USD,0.000611,-0.000004,"30,444",5,"30,444"
UNICORN Token USD,0.000284,-0.000002,"30,375",6,"30,375"
SparksPay USD,0.002383,-0.000016,"30,064",0,"30,064"
Fire Lotto USD,0.001093,-0.000007,"30,044",46,"30,044"
Zebi Token USD,0.000028,0.000007,"30,043",12,"30,043"
MicroMoney USD,0.001899,-0.000441,"29,968","98,302","29,968"
extraDNA USD,0.000025,0,"29,633",2,"29,633"
Universal Currency USD,0.001833,-0.000012,"29,234",9,"29,234"
PostCoin USD,0.001833,-0.000012,"29,086",5,"29,086"
Yellow Road USD,0.009519,0.000019,"28,878",4,"28,878"
Nasdacoin USD,0.000979,0.000016,"28,639","4,301","28,639"
MMOCoin USD,0.000417,-0.000041,"28,549",0,"28,549"
Desire USD,0.00275,-0.000018,"28,236",N/A,"28,236"
Block-Logic USD,0.001222,-0.000008,"27,983",0,"27,983"
Gourmet Galaxy USD,0.008272,-0.00005,"27,397","6,962","27,397"
VEKTOR USD,0.00000007,0,"27,245",11,"27,245"
Knit Finance USD,0.005426,0.000019,"26,586","10,115","26,586"
Spaceswap MILK2 USD,0.003593,-0.000002,"26,502",5,"26,502"
AOK USD,0.000132,0.000008,"26,401","11,042","26,401"
Signature Chain USD,0.000034,0,"26,362",3,"26,362"
Arionum USD,0.000162,0.000143,"25,853",0,"25,853"
ETHplode USD,0.000571,-0.000003,"25,599",0,"25,599"
EtherGem USD,0.001314,-0.000132,"25,594",481,"25,594"
Smoothy USD,0.005003,0.000019,"25,464","46,317","25,464"
UnlimitedIP USD,0.000015,-0.000004,"25,201",0,"25,201"
SolChicks Token USD,0.000039,0,"25,147",13,"25,147"
Gem Exchange and Trading USD,0.000298,-0.000002,"24,918",878,"24,918"
Kuverit USD,0.00000937,0,"24,872",2,"24,872"
GuccioneCoin USD,0.001222,-0.000008,"24,789",12,"24,789"
CoinAlpha USD,0.000179,-0.000001,"24,670",23,"24,670"
2key.network USD,0.00031,0,"24,295",3,"24,295"
SolanaSail Governance Token USD,0.0065,-0.000001,"24,051",5,"24,051"
Coin2.1 USD,0.000306,-0.000002,"23,904",4,"23,904"
GamyFi Platform USD,0.028064,0,"23,152",534,"23,152"
Spaceswap SHAKE USD,30.33,-2,"23,020","2,939","23,020"
GCN Coin USD,0.00000013,0,"22,466",0,"22,466"
AFEN Blockchain Network USD,0.000152,-0.000002,"22,343",1,"22,343"
Goose Finance USD,0.012629,-0.000088,"22,164","7,935","22,164"
ELTCOIN USD,0.000245,-0.000001,"22,016","9,181","22,016"
Ormeus Ecosystem USD,0.00000978,0.00000299,"21,814",11,"21,814"
BERNcash USD,0.000306,-0.000002,"21,762",22,"21,762"
Wolf Safe Poor People (Polygon) USD,0.00000676,0.00000061,"21,385","48,845","21,385"
Dogs Of Elon USD,0.000109,-0.000001,"21,012",112,"21,012"
Knekted USD,0.000038,0,"20,667",2,"20,667"
EventChain USD,0.000659,-0.000248,"20,582","4,415","20,582"
ACA Token USD,0.000382,-0.000016,"20,551",76,"20,551"
Nsure.Network USD,0.003597,-0.000026,"20,389","207,692","20,389"
Synthetify USD,0.003531,0.000261,"19,859","55,852","19,859"
Martkist USD,0.001161,0.000084,"19,683","3,611","19,683"
Castweet USD,0.010883,-0.000034,"19,524",40,"19,524"
PosEx USD,0.007943,-0.000053,"19,486",3,"19,486"
Bitcoin Confidential USD,0.00000265,0.00000033,"19,485",0,"19,485"
Digitalcoin USD,0.000468,-0.000278,"19,205","68,371","19,205"
DeFi Degen Land USD,0.00000013,0,"19,122",7,"19,122"
Bitcoin Adult USD,0.000367,-0.000003,"18,912",0,"18,912"
Paybswap USD,0.000123,0,"18,898",104,"18,898"
TajCoin USD,0.000611,-0.000004,"18,726",3,"18,726"
Decentralized Crypto Token USD,0.000019,0,"18,687",0,"18,687"
HeroFi USD,0.000212,0,"18,256",2,"18,256"
MIB Coin USD,0.000084,0.000001,"17,716",17,"17,716"
Bitcoin Classic USD,0.029332,-0.000208,"17,603",N/A,"17,603"
Alpha Token USD,0.000494,-0.000003,"17,146",14,"17,146"
ClassicDoge USD,0.00000113,0,"17,083",4,"17,083"
Tokenbox USD,0.001519,0.000003,"17,070",9,"17,070"
BitCash USD,0.000743,-0.00061,"16,501","1,107","16,501"
Yocoin USD,0.000045,-0.000002,"16,480","25,791","16,480"
FirstCoin USD,0.000522,-0.000003,"16,287",3,"16,287"
AdaSwap USD,0.000023,0,"16,248","6,062","16,248"
ROCKI USD,0.00199,-0.000309,"16,034","51,318","16,034"
Dreamcoin USD,0.005805,-0.000041,"15,818",4,"15,818"
BoutsPro USD,0.000206,-0.000001,"15,811",0,"15,811"
GeyserCoin USD,0.009165,-0.000984,"15,704",12,"15,704"
Indexed Finance USD,0.018381,0.000031,"15,712",201,"15,712"
Transcodium USD,0.000181,0,"15,563",30,"15,563"
OtterClam Finance USD,0.122121,-0.000061,"15,397",0,"15,397"
Alphr finance USD,0.008867,-0.000028,"15,331","9,142","15,331"
AmsterdamCoin USD,0.000306,-0.000002,"15,336",N/A,"15,336"
Bela USD,0.000306,-0.000002,"15,187",264,"15,187"
Eurocoin USD,0.001222,-0.000008,"15,173",2,"15,173"
VouchForMe USD,0.000061,0,"15,010",0,"15,010"
Pigeoncoin USD,0.00000197,-0.00001399,"14,837",2,"14,837"
Phantomx USD,0.000306,-0.000002,"14,815",0,"14,815"
PYRO Network USD,0.000019,0,"14,737",0,"14,737"
MustangCoin USD,0.022913,-0.000154,"14,442",8,"14,442"
Rune USD,1.0686,0.0019,"14,443",465,"14,443"
NeoWorld Cash USD,0.0000006,0,"14,226",10,"14,226"
Arepacoin USD,0.000824,-0.000089,"14,170",0,"14,170"
AllSafe USD,0.001528,-0.000318,"13,969",7,"13,969"
CorionX USD,0.000107,-0.000005,"13,961",35,"13,961"
Startcoin USD,0.000306,-0.000002,"13,773",2,"13,773"
XDNA USD,0.001558,-0.000011,"13,747",2,"13,747"
Twinci USD,0.068188,-0.000321,"13,637",77,"13,637"
Mobile Crypto Pay Coin USD,0.001405,-0.000009,"13,557",1,"13,557"
AMATEN USD,0.00179,0,"13,553",0,"13,553"
Islander USD,0.000025,0,"13,549",31,"13,549"
Californium USD,0.005499,-0.000037,"13,455",120,"13,455"
More Coin USD,0.006721,-0.000045,"13,442",30,"13,442"
BoatPilot Token USD,0.000181,-0.000001,"13,367",0,"13,367"
Golden Goose USD,0.00008,0,"13,280",20,"13,280"
SpeedCash USD,0.022913,-0.000154,"13,168",3,"13,168"
Rivetz USD,0.000493,0.000001,"12,947",0,"12,947"
EchoLink USD,0.000025,0,"12,607",0,"12,607"
EvenCoin USD,0.000397,-0.000002,"12,419",93,"12,419"
Innovative Bioresearch Coin USD,0.00000001,0,"12,299",199,"12,299"
HyperAlloy USD,0.003522,-0.000019,"12,163",1,"12,163"
Datacoin USD,0.000306,-0.000002,"12,132",0,"12,132"
Ignition USD,0.00776,-0.000052,"12,099",12,"12,099"
BitSend USD,0.000367,-0.000002,"11,907",0,"11,907"
1MillionNFTs USD,0.099435,-0.002412,"11,932","31,611","11,932"
BonFi USD,0.00004,0,"11,897",76,"11,897"
ParkByte USD,0.002444,-0.000017,"11,645",5,"11,645"
EDRCoin USD,0.003972,-0.000027,"11,641",6,"11,641"
Landbox USD,0.000152,0.000011,"11,621",394,"11,621"
FNB Protocol USD,0.0000048,0,"11,570",0,"11,570"
iBTC USD,0.000228,-0.000001,"11,399",36,"11,399"
X-Coin USD,0.000917,-0.000006,"11,350",7,"11,350"
Scholarship Coin USD,0.00081,0,"11,203",47,"11,203"
Dollarcoin USD,0.001222,-0.000008,"11,128",3,"11,128"
CrevaCoin USD,0.000306,-0.000002,"11,117",N/A,"11,117"
Thore Cash USD,0.0002,-0.000001,"11,001",0,"11,001"
GlobalToken USD,0.000082,-0.000004,"10,951",1,"10,951"
Donu USD,0.002139,-0.000014,"10,844",1,"10,844"
Alpha Coin USD,0.000306,-0.000002,"10,694",7,"10,694"
Bonpay USD,0.000917,-0.000006,"10,347",N/A,"10,347"
FuzzBalls USD,0.002139,-0.000014,"10,328",3,"10,328"
CareCoin USD,0.00000531,-0.0000007,"10,264","584,382","10,264"
PrivaCoin USD,0.000796,-0.000001,"10,212","5,365","10,212"
BowsCoin USD,0.001833,-0.000012,"10,173",3,"10,173"
ZINC USD,0.001802,0.000003,"10,060",151,"10,060"
SongCoin USD,0.000306,-0.000002,"9,948",N/A,"9,948"
Gossip Coin USD,0.000306,-0.000002,"9,923",6,"9,923"
SCRIV NETWORK USD,0.000397,-0.000003,"9,828",0,"9,828"
HeartBout USD,0.000184,-0.000001,"9,821",0,"9,821"
Elementeum USD,0.001836,0.000003,"9,587",35,"9,587"
Lithosphere USD,0.000153,0.000001,"9,529","77,212","9,529"
Litecred USD,0.000306,-0.000002,"9,234",108,"9,234"
Ancient Kingdom USD,0.00000692,-0.00000008,"9,137",3,"9,137"
MedicCoin USD,0.000031,0,"9,114",2,"9,114"
Apollon USD,0.000061,0,"9,079",1,"9,079"
AtromG8 USD,0.000216,-0.005795,"9,080",569,"9,080"
Acoin USD,0.007332,-0.000049,"8,945",3,"8,945"
ModiHost USD,0.007143,-0.006598,"8,904",0,"8,904"
Origo USD,0.00002,0,"8,810",0,"8,810"
Niftify USD,0.00075,-0.00009,"8,626","4,639","8,626"
Kemacoin USD,0.000354,0.000047,"8,632",1,"8,632"
Ccore USD,0.005062,0.000059,"8,605",71,"8,605"
LiteCoin Ultra USD,0.008307,0.005169,"8,566",65,"8,566"
FBX by KXCO USD,0.000955,-0.000026,"8,487","177,896","8,487"
Xuez USD,0.001833,-0.000012,"8,416","31,606","8,416"
Streamit Coin USD,0.000611,-0.000004,"8,266",3,"8,266"
Axe USD,0.001528,-0.00001,"8,036",0,"8,036"
Bitcoin 21 USD,0.010082,-0.000068,"7,995",10,"7,995"
OneRoot Network USD,0.000028,0,"7,954",6,"7,954"
Arbidex USD,0.000327,0.000001,"7,700",145,"7,700"
StarterCoin USD,0.000022,0,"7,642",25,"7,642"
XPA USD,0.000132,0,"7,531",0,"7,531"
KIWIGO USD,0.000175,0.000013,"7,432",7,"7,432"
Gaj Finance USD,0.003734,0.000063,"7,249",27,"7,249"
Zuki Moba USD,0.000186,-0.000008,"6,859",17,"6,859"
SpreadCoin USD,0.000611,-0.000004,"6,819",5,"6,819"
TravelNote USD,0.003132,-0.000014,"6,744",2,"6,744"
Prime-XI USD,0.000306,-0.000002,"6,700",14,"6,700"
2local USD,0.00000053,-0.00000001,"6,595",1,"6,595"
Rewardiqa USD,0.000659,-0.000002,"6,586",15,"6,586"
Independent Money System USD,0.001222,-0.000008,"6,560",20,"6,560"
CRDT USD,0.000734,-0.000002,"6,443",0,"6,443"
Cabbage USD,0.000611,-0.000004,"6,415",2,"6,415"
Quebecoin USD,0.000917,-0.000006,"6,143",2,"6,143"
Step Hero USD,0.000448,-0.000052,"5,803","37,352","5,803"
Zayedcoin USD,0.000917,-0.000006,"5,722",3,"5,722"
Moniwar USD,0.000529,0,"5,721",1,"5,721"
VectorAI USD,0.000306,-0.000002,"5,621",2,"5,621"
Datarius Credit USD,0.000028,0,"5,621",45,"5,621"
Scanetchain USD,0.00000611,-0.00000004,"5,550",20,"5,550"
Veltor USD,0.009776,-0.000066,"5,424",4,"5,424"
Coinonat USD,0.000611,-0.000004,"5,268",2,"5,268"
PLNcoin USD,0.000306,-0.000002,"5,220",2,"5,220"
Kalata USD,0.000146,-0.000002,"5,114",34,"5,114"
Bitvolt USD,0.000306,-0.000002,"5,067",6,"5,067"
SF Capital USD,0.000051,-0.000011,"5,059",0,"5,059"
Warena USD,0.00073,0.000019,"5,007","11,378","5,007"
Luna Rush USD,0.001098,-0.000004,"4,994","7,990","4,994"
Carebit USD,0.000031,0,"4,823",0,"4,823"
Knight War - The Holy Trio USD,0.000152,0.000003,"4,790","7,828","4,790"
Smaugs NFT USD,0.00013,0.000001,"4,565",1,"4,565"
LCMS USD,0.0003,0,"4,477",0,"4,477"
FUZE Token USD,5.8207,0.9473,"4,357","34,547","4,357"
Iconic USD,0.007332,-0.000049,"4,347",3,"4,347"
iBank USD,0.000917,-0.000006,"4,148",0,"4,148"
Rupee USD,0.000092,-0.000001,"4,046",4,"4,046"
SafeCapital USD,0.002169,-0.000015,"4,018",24,"4,018"
High Voltage USD,0.002653,0.000092,"3,964",0,"3,964"
Joint Ventures USD,0.000172,-0.000001,"3,817",967,"3,817"
GoHelpFund USD,0.000306,-0.000002,"3,710","7,296","3,710"
Defis USD,0.000027,0,"3,699",50,"3,699"
DragonVein USD,0.000006,0,"3,630",26,"3,630"
Pyrk USD,0.000224,-0.000001,"3,534",574,"3,534"
Kwikswap Protocol USD,0.000363,-0.000001,"3,448",83,"3,448"
BSClaunch USD,0.001764,-0.000024,"3,444",625,"3,444"
Save Environment Token USD,0.003481,-0.000011,"3,345",23,"3,345"
Xion Finance USD,0.000325,-0.000012,"3,240",10,"3,240"
Comet USD,0.003666,-0.000025,"3,199",3,"3,199"
Guider USD,0.000012,0,"3,052",26,"3,052"
Grimm USD,0.000049,0,"2,957",8,"2,957"
Warp Finance USD,0.609284,0,"2,847",0,"2,847"
Paypex USD,0.000019,0,"2,822",6,"2,822"
ARbit USD,0.00026,-0.000004,"2,812",98,"2,812"
Cream USD,0.000061,0,"2,756",0,"2,756"
The Currency Analytics USD,0.000019,0,"2,715",12,"2,715"
JavaScript Token USD,0.000336,-0.000002,"2,685",0,"2,685"
XOVBank USD,0.000019,0,"2,668",28,"2,668"
SeChain USD,0.00000016,0,"2,663",0,"2,663"
NestEGG Coin USD,0.000061,0,"2,587",0,"2,587"
Wild Beast Block USD,0.014053,-0.000094,"2,556",4,"2,556"
DNotes USD,0.000019,0,"2,541",3,"2,541"
Koi Network USD,0.00014,0,"2,520","1,545","2,520"
Niobium Coin USD,0.000039,0.000001,"2,464",121,"2,464"
SocialCoin USD,0.000232,-0.000001,"2,438",1,"2,438"
Exosis USD,0.004712,-0.000022,"2,432",5,"2,432"
Merebel USD,0.000367,-0.000002,"2,271",0,"2,271"
FinNexus USD,0.000064,0,"2,198",0,"2,198"
Dinero USD,0.000244,0.000029,"2,187",0,"2,187"
LitecoinToken USD,0.00000002,0,"1,874",0,"1,874"
Ancient Raid USD,0.000029,0,"1,795",133,"1,795"
Mesefa USD,0.0036,-0.000001,"1,550",2,"1,550"
Mate USD,0.000558,0,"1,506",14,"1,506"
Save and Gain USD,0.000475,-0.000003,"1,455",1,"1,455"
Rigel Finance USD,0.330017,-0.000072,"1,385",6,"1,385"
Concoin USD,0.001528,-0.00001,"1,136",64,"1,136"
HeroFi (ROFI) USD,0.013689,0,"1,127",6,"1,127"
Depth Token USD,0.00000205,0,"1,081",0,"1,081"
KZ Cash USD,0.000672,-0.000005,"1,051",0,"1,051"
Connectome USD,0.000848,-0.000014,"1,026","5,082","1,026"
Crystal Token USD,0.001713,-0.000063,966,"92,359",966
Cubiex Power USD,0.00517,-0.000062,871,50,871
PonziCoin USD,0.000917,-0.000006,789,59,789
ECOSC USD,0.0009,0,775,5,775
Dash Green USD,0.000336,-0.000002,773,1,773
STRAKS USD,0.000031,0,728,0,728
Argus USD,0.000611,-0.000004,701,2,701
PIAS USD,0.000016,0,668,"289,443",668
PREMA USD,0.0000023,0.00000013,663,"587,982",663
Dynamite USD,0.001697,-0.000433,654,"34,504",654
Diligence USD,0.000031,0,641,11,641
DMM: Governance USD,0.000012,0,602,"80,261",602
